11.2	9.4	8.7	9.05	8.4	12.3	9.3	10.8
9.4	6.9	6.9	6.9	8.7	9.5	7.4	8.45
7.8	5.6	5.2	5.4	8.8	10.9	2.9	6.9
5.9	-2.2	-5.4	-3.8	8.8	11.7	4.6	8.15
6.2	-2.5	-5.8	-4.15	8.7	13.4	5.9	9.65
9.4	6.2	3.9	5.05	8.6	9.6	8.6	9.1
10.9	8.9	8.5	8.7	8.7	13.5	6.5	10
8.2	0.6	-1.9	-0.65	8.8	14.5	6.6	10.55
8.2	0.8	-1.4	-0.3	8.9	14.2	6.8	10.5
8.2	4	1.6	2.8	9	14.6	8.2	11.4
12.3	9.1	8.4	8.75	9.1	14.2	7.8	11
9.6	3.8	1.9	2.85	9.2	12.3	7.5	9.9
9	3.4	1.3	2.35	9.2	9.6	5.5	7.55
9.2	5.2	4.1	4.65	9.1	11.8	5.4	8.6
6	1	-0.9	0.05	9	10.2	5.9	8.05
7.5	5.7	5.3	5.5	8.9	14.5	7	10.75
11.1	4.7	2.4	3.55	8.9	12.7	9.9	11.3
11.2	9	8.5	8.75	9.1	15.5	6.5	11
9.8	6.4	4.5	5.45	9.3	14	7.8	10.9
10.1	6.4	5.3	5.85	9.5	14	6.6	10.3
10	3.1	0.5	1.8	9.5	14.1	7.7	10.9
8.5	7	6.4	6.7	9.5	12.6	7.6	10.1
9.9	4.3	2.4	3.35	9.6	12.4	9.4	10.9
10	7.7	7.7	7.7	9.6	10.5	8.1	9.3
8.5	3.7	1.6	2.65	9.7	10.2	4.7	7.45
6.7	-0.4	-3.1	-1.75	9.8	11.6	6.4	9
9.1	2.9	2.2	2.55	9.7	11.3	6.7	9
10.4	2.9	0.1	1.5	9.8	11.8	7.3	9.55
9.8	7.2	7.1	7.15	9.8	13	7.3	10.15
14.6	4.8	2.6	3.7	9.8	18.5	12.1	15.3
13.9	10.6	9.5	10.05	9.9	16.3	11.8	14.05
12.2	9.3	7.1	8.2	10.3	16.1	10.4	13.25
11.7	8.3	8.3	8.3	10.6	14	7.9	10.95
11.2	3.5	1.4	2.45	10.8	14.6	7.7	11.15
12.3	3.9	2.4	3.15	10.9	15.4	10.7	13.05
15.3	10.5	9.5	10	11	18.9	12.9	15.9
14.1	10.8	9.2	10	11.2	15.6	13.2	14.4
15	12.8	12.5	12.65	11.4	20.1	14.7	17.4
15	10	7.6	8.8	11.8	15.5	12.1	13.8
15.4	11.9	10.6	11.25	12	17.9	11.6	14.75
14.2	6.2	3.7	4.95	12.2	14.7	11.4	13.05
12.6	8.8	6.7	7.75	12.3	15.4	11.2	13.3
11.8	9.5	8.4	8.95	12.4	13.4	9.7	11.55
9.7	7.8	8	7.9	12.5	14.4	8.5	11.45
10.3	4.9	3	3.95	12.4	19.7	10	14.85
13.2	7.1	5	6.05	12.5	15.6	10.3	12.95
12.7	5.2	1.9	3.55	12.6	16.5	10.4	13.45
12.9	6.3	3.2	4.75	12.7	16.7	12.1	14.4
16	9.2	8.2	8.7	12.7	19.3	13.9	16.6
15	11.3	10.4	10.85	13	17.6	10.9	14.25
12.7	5.1	2.2	3.65	13.2	17.9	9.6	13.75
15	3.7	1.2	2.45	13.4	18.7	11.7	15.2
14.5	7.1	4.6	5.85	13.5	20.8	11.3	16.05
